Event_ID,事件标题,所属章节,事件类型,是否Boss,触发条件,专属角色,场景与冲突描述,潜在冲突点,叙事标签,状态钩子,关系钩子,开场目标,施压目标,转折目标,收束目标,兜底后果
evt_ch2_midnight,期末深夜崩溃,2,通用随机池,False,,,期末周凌晨三点，有人在寝室突然崩溃大哭，说“复习不完了”“我要挂科了”。所有人都很焦虑，气氛压抑。,集体焦虑|情绪感染|安慰与边界,焦虑扩散|崩溃|共情边界,主角SAN低=>更容易被别人情绪一起拖下去|主角近期可靠=>更容易被默认去安抚,高亲密角色=>会在崩溃时更信任主角的安慰|低亲密角色=>会把主角的安慰听成说教,先让崩溃者的状态和全寝室压抑感扩散开来,把局势从单人情绪崩溃推进到全员如何应对焦虑,逼出主角是接住情绪 还是先保住自己的边界,形成谁会在高压下互相扶持 谁会先烦躁撤退的印象,如果大家都只是口头安慰 就让第二个人也开始情绪失控
evt_ch2_major,转专业风波,2,通用随机池,False,,,有人想转专业，来征求你的意见。你觉得她现在专业前景更好，但她学得很痛苦。,理想与现实|建议与干涉的边界,前途选择|建议负担|好心越界,主角近期可靠=>更容易被认真追问意见|主角压力高=>更难承担建议失败的心理责任,高亲密角色=>会把真实痛苦讲得更多|低亲密角色=>更容易把建议听成居高临下,先让来征求意见的人把痛苦和期待说具体,把对话从求建议推进到谁来承担选择后果,逼主角给出支持现实 支持理想 或回避判断的态度,形成一次关于信任建议和边界分寸的印象,如果双方都太谨慎 就让转专业申请截止日期逼近
evt_ch3_family,家人住院,3,通用随机池,False,,,室友家人突然住院，她需要立刻回家但期末作业还有两周截止。她想让你帮忙做完。,同情与负担|边界被侵犯|道德困境,求助越界|责任转移|同情绑架,主角最近常心软=>更容易被拖入过量负担|主角边界变强=>更可能提出有限帮助,高亲密角色=>会更真诚地暴露无助|低亲密角色=>求助会更像理所当然,先让室友的突发困境和主角的压力都成立,把局面从同情推进到帮到什么程度才算合理,逼主角做出有限帮助 全盘接手 或明确拒绝的选择,留下谁在危机里尊重边界 谁最会道德绑架的印象,如果主角一直拖着不表态 就让截止时间或老师消息压过来
evt_ch3_bf,室友的恋爱脑,3,通用随机池,False,,,室友谈了恋爱后天天在寝室煲电话粥到凌晨，严重影响其他人休息。你作为寝室长被推出去沟通。,恋爱与集体生活的冲突|沟通责任,恋爱失衡|代沟通|边界疲劳,主角近期常调停=>更容易被全寝默认去出面|主角压力高=>沟通时更容易失掉耐心,高亲密角色=>会愿意给主角面子稍作收敛|低亲密角色=>会把提醒听成嫉妒或针对,先让被影响的人和恋爱脑室友的态度都落地,把提醒从音量问题推进到恋爱是否可以凌驾于集体规则,逼出主角是温和沟通 立规矩 还是直接翻脸,形成寝室里谁最有资格说话的阶段性位置,如果对方一直不当回事 就让她再次深夜通话到被邻寝投诉
evt_ch4_contract,三方协议骗局,4,通用随机池,False,,,室友签了个看起来很不错的公司，但你觉得那是个骗子公司（网上搜到差评）。她兴奋地请客吃饭。,善意提醒与扫兴|识人辨事能力,毕业选择|善意泼冷水|面子风险,主角口碑高=>提醒更容易被当真但也更有压力|主角近期退让=>可能选择先旁敲侧击,高亲密角色=>会在高兴和怀疑之间摇摆|低亲密角色=>会把提醒听成见不得别人好,先让她的兴奋和主角的不安形成反差,把局面从提醒一句推进到要不要拿证据扫兴,逼出主角是保护对方体面 还是强行揭穿风险,形成一次关于判断力和善意是否被理解的印象,如果主角一直不说 就让签约时间近在眼前
evt_ch4_breakup,毕业即分手,4,通用随机池,False,,,室友被分手，在寝室哭得撕心裂肺。明天还有毕业答辩，所有人都很慌。,情感危机与现实的冲突|集体情绪安抚,情感崩塌|现实挤压|最后互助,主角SAN低=>更容易被对方情绪拖垮|主角近期可靠=>大家会默认主角来收残局,高亲密角色=>会更愿意在主角面前哭崩|低亲密角色=>会觉得主角的安慰太浅或太理性,先让分手带来的失控状态和答辩压力同时压上来,把局势从单纯陪哭推进到明天现实问题谁来兜底,逼出主角是先安抚 先处理答辩危机 还是拉大家一起分担,让毕业前最后一次互相扶持或互相埋怨被看见,如果局面一直停在哭 就让答辩资料真的出问题
evt_tpl_rel_conflict_1,[TARGET]翻旧账开战,1,通用随机池,FALSE,,,你刚回寝室，[TARGET]突然提起上次没说开的矛盾，语气很冲，明显想当场把账算清。,旧账重提|情绪上头|谁先退让,关系-恶化|公开冲突|争吵,主角压力高=>更容易被激怒正面回击|主角近期回避=>更容易被指责装没事,高亲密角色=>可能尝试打圆场|低亲密角色=>会围观拱火,让[TARGET]先明确控诉点并占住气势,推动对话从互怼升级到要不要翻出更多旧账,逼主角做出反击 解释 或短暂退让,形成一次关系明显恶化或短期停火,如果双方都不接招 就让第三人插话点名站队
evt_tpl_rel_coldwar_1,[TARGET]对你爱答不理,1,通用随机池,FALSE,,,这两天[TARGET]对你明显冷处理：消息不回 说话只嗯哦，公共事务也故意绕开你。,冷暴力|误读与自证|面子僵局,关系-恶化|冷战|尴尬,主角SAN低=>更容易把沉默理解成敌意|主角近期边界强=>更可能直接摊牌,高亲密角色=>会劝双方先说开|低亲密角色=>会继续装作没事,先把冷处理带来的空气压迫感立起来,把局面从不舒服推进到要不要主动开口,逼主角在摊牌 观察 让步之间做选择,形成冷战延续或一次有限和解,如果大家都拖着 就让公共安排因沟通断裂直接出错
evt_tpl_rel_repair_1,和[TARGET]尝试说开,2,通用随机池,FALSE,,,一次偶然独处中，[TARGET]提到“我们是不是一直误会彼此”。气氛不再剑拔弩张，但仍很别扭。,和解窗口|道歉成本|谁先低头,关系-和解|关系-升温|尴尬,主角近期强硬=>更难先示弱道歉|主角近期稳重=>更容易给台阶,高亲密角色=>会鼓励把话说完整|低亲密角色=>会怀疑这只是暂时停火,先让双方承认至少一处误会来源,推动对话从试探推进到具体边界和期待,逼出是否道歉 是否重建最低合作规则,形成一次可持续缓和或失败和解,如果谁都不说重点 就让过去矛盾被第三人再次提起
evt_tpl_rel_ambiguous_1,和[TARGET]的微妙靠近,2,通用随机池,FALSE,,,你和[TARGET]在教学楼外并肩走了很久，话题从日常抱怨慢慢变成只有彼此懂的暗梗，气氛有点不对劲。,暧昧试探|边界不明|怕尴尬,暧昧推进|关系-升温|关系,主角压力高=>更容易在关键时刻打哈哈跳过|主角近期主动=>更可能顺势推进,高亲密角色=>会更敢给出暧昧信号|低亲密角色=>会立刻把话题转安全区,先让双方都出现一点超出普通朋友的反应,推动对话从玩笑推进到半真半假的试探,逼主角在继续暧昧 保持朋友 或主动切断之间做选择,留下一个可延续的情感线索而非一次性糖,如果两人都回避 就让朋友突然出现打断气氛
evt_tpl_rel_date_1,[TARGET]发来半公开邀约,3,通用随机池,FALSE,,,晚上你收到[TARGET]消息：“周末要不要单独出去走走？”语气看似随意，但你知道这不是普通约饭。,邀约定义权|关系命名焦虑|风险评估,约会|暧昧推进|关系-升温,主角近期谨慎=>更可能拖延不正面回应|主角近期果断=>更可能直接给明确态度,高亲密角色=>会期待主角给出清晰回应|低亲密角色=>会随时给自己留退路,先把邀约的暧昧意味说清楚,推动局面从回复一句话升级到关系定位讨论,逼主角在接受 推迟 拒绝三路中承担后果,形成约会前推进或关系降温的明确分叉,如果主角一直回避回复 就让[TARGET]再次追问并收回邀约
evt_tpl_rel_public_1,[TARGET]在公开场合护你或刺你,4,通用随机池,FALSE,,,在班级公开讨论里，有人点名质疑你。[TARGET]当场替你说话，也可能顺势补刀，所有人都在看你反应。,公开站队|面子与信任|关系定调,关系|关系-升温|关系-恶化|公开冲突,主角口碑高=>公开场合更在意形象管理|主角低SAN=>更容易把回应变成情绪对抗,高亲密角色=>更可能护短|低亲密角色=>更可能借机切割,先把公开场景压迫感和围观感做出来,推动对话从一句站队推进到立场是否坐实,逼主角回应[TARGET]并重塑彼此关系,形成毕业前关系定调的一次关键回合,如果局面暧昧不清 就让老师或同学要求当场给结论
